filename,length_cm,diameter_cm,weight_est_g,ratio_ld,ratio,length_norm,diameter_norm,weight_norm,ratio_norm,fuzzy_score,final_grade,label_asli
A_01.jpg,14.832,12.274,509.607,1.2085,1.2084080168479383,0.9956704388507728,0.8383360808694585,0.7799154764172407,0.589460555586521,80.87090468460849,A,A
A_02.jpg,13.729,13.429,564.745,1.0223,1.0223397124862357,0.8774648490143321,0.9580909721444848,0.8676616259059023,0.0523973313720005,40.59244001053511,A,A
A_03.jpg,14.876,13.588,626.488,1.0948,1.094789520084281,1.0,0.974576710423904,0.9659189168464232,0.2615147702383727,54.563205791128375,A,A
A_04.jpg,14.709,14.25,681.231,1.0322,1.0322105262433536,0.9824888544900454,1.0,1.0,0.0808882185233854,43.40374014749866,A,A
A_05.jpg,14.391,14.241,665.694,1.0105,1.0105329681194766,0.9484096363867016,1.0,1.0,0.018318619154782,42.0991845939552,A,A
A_06.jpg,13.403,12.944,512.19,1.0354,1.035460444913824,0.8425282920907785,0.9078042861978288,0.7840260408941752,0.0902687081537142,37.45245758113854,A,A
A_07.jpg,13.906,13.809,604.781,1.007,1.007024404301034,0.8964334704114761,0.9974908497934112,0.9313745796025916,0.0081915821875818,41.03177150803692,A,A
A_08.jpg,13.976,13.703,598.565,1.02,1.0199226446019178,0.9039351850883128,0.9865003576071316,0.9214824894792372,0.0454207628717917,41.54839859045295,A,A
A_09.jpg,14.285,12.609,517.994,1.133,1.1329209294049551,0.9370498970189204,0.8730701835336436,0.7932624776824553,0.3715763828480911,72.11211604083444,A,A
A_10.jpg,12.829,12.662,469.118,1.0132,1.013189069577224,0.7810142317407178,0.8785654296267835,0.7154816223302874,0.0259851285994308,33.36162850737835,A,A
A_11.jpg,13.853,12.865,522.912,1.0768,1.07679751254747,0.8907536007275855,0.8996132590023941,0.8010889415220077,0.2095830583277411,44.24414780075831,A,A
A_12.jpg,12.935,12.538,463.805,1.0317,1.0316637421413573,0.792373971108499,0.8657086274466073,0.7070265588126905,0.0793099936141254,32.018473688837354,A,A
A_13.jpg,13.279,13.024,513.716,1.0196,1.0195792382509536,0.8292395403775249,0.9160989972818132,0.7864545044604941,0.0444295627708543,36.66449158033185,A,A
A_14.jpg,13.059,12.882,494.289,1.0137,1.0137401023898664,0.8056627228217524,0.9013758851077408,0.7555385400418313,0.027575616888239,34.413310991817234,A,A
A_15.jpg,13.782,13.182,546.255,1.0455,1.0455166134846368,0.8831447186982228,0.9324810516726828,0.8382367954070566,0.1192945991264543,41.24897283558195,A,A
A_16.jpg,17.047,16.35,1039.373,1.0426,1.0426299693551908,1.0,1.0,1.0,0.1109626566785537,44.37012142055728,A,A
A_17.jpg,17.462,16.703,1111.119,1.0454,1.0454409386909274,1.0,1.0,1.0,0.1190761731627161,44.67148502559432,A,A
A_18.jpg,16.324,13.853,714.471,1.1783,1.178372915528884,1.0,1.0,1.0,0.502767938005269,91.66666666666666,A,A
A_19.jpg,15.106,13.112,592.318,1.1521,1.1520744355436183,1.0,0.9252231794741962,0.9115410662165933,0.4268606172969992,91.33292217519498,A,A
A_20.jpg,15.6,14.832,782.765,1.0518,1.051779935204168,1.0,1.0,1.0,0.1373729052007938,45.435366952910805,A,A
A_21.jpg,14.868,14.726,735.404,1.0096,1.0096428085692215,0.9995284635417172,1.0,1.0,0.0157492833414347,42.42261313510919,A,A
A_22.jpg,20.479,16.156,1219.173,1.2676,1.2675786084880185,1.0,1.0,1.0,0.7602491744967435,91.66666666666666,A,A
A_23.jpg,19.659,17.197,1326.027,1.1432,1.1431645053705202,1.0,1.0,1.0,0.4011432021643907,91.66666666666666,A,A
A_24.jpg,20.991,16.438,1293.7,1.277,1.2769801678259534,1.0,1.0,1.0,0.7873856166113565,91.66666666666666,A,A
A_25.jpg,11.594,11.559,353.306,1.0031,1.0030279435069618,0.6486625513708136,0.764202100556347,0.5311793795108001,0.0,36.73550665556623,A,A
A_26.jpg,12.018,10.835,321.801,1.1091,1.109183202481847,0.6941015088419388,0.6891349652462874,0.4810425874682834,0.3030603601940355,45.84703297697809,B,A
A_27.jpg,12.812,12.026,422.641,1.0653,1.065358390066077,0.7791923867477717,0.8126224765091065,0.6415185154024966,0.1765654413665032,29.53233224695118,A,A
A_28.jpg,12.697,11.603,389.875,1.0943,1.0942859604331392,0.7668681412072542,0.7687641916525385,0.5893749785650072,0.2600613073782994,31.8369688701384,A,A
A_29.jpg,13.024,12.874,492.278,1.0117,1.0116513903206732,0.8019118654833342,0.9005464139993424,0.752338251554369,0.0215468069725208,34.13134894565359,A,A
A_30.jpg,13.024,12.944,497.691,1.0061,1.0061804696379648,0.8019118654833342,0.9078042861978288,0.7609524542309645,0.005755668813033,34.69033306808955,A,A
A_31.jpg,13.632,12.185,461.668,1.1188,1.1187525645368277,0.8670696158192868,0.8291082147885258,0.7036257549848899,0.3306811441666423,52.95603691696092,A,A
A_32.jpg,12.75,12.644,464.915,1.0084,1.0083834228876634,0.772548010891145,0.8766991196328869,0.7087930034775752,0.0121142218139625,33.73922765768676,A,A
A_33.jpg,12.741,12.706,469.143,1.0028,1.002754604045116,0.7715835047184088,0.8831275207229746,0.7155214071200371,0.0,34.36190839199337,A,A
A_34.jpg,13.068,12.415,459.364,1.0526,1.0525976640312045,0.8066272289944886,0.852955509154981,0.6999591887615615,0.1397331786599839,32.099832314799855,A,A
A_35.jpg,14.4,12.415,506.2,1.1599,1.1598872330922363,0.9493741425594378,0.852955509154981,0.7744936052701574,0.4494112943507295,79.06501286828572,A,A
A_36.jpg,12.706,12.574,458.148,1.0105,1.010497852631581,0.7678326473799905,0.8694412474344004,0.6980240565881384,0.0182172626275986,33.44599557204844,A,A
A_37.jpg,13.509,12.379,472.176,1.0912,1.0912836254066336,0.8538880314585597,0.8492228891671882,0.7203480978124653,0.2513954374170575,41.20262244903433,A,A
A_38.jpg,12.485,12.212,424.661,1.0224,1.0223550605124176,0.7441486624716918,0.8319076797793704,0.6447331264142688,0.0524416315576495,32.34411828621948,A,A
A_39.jpg,12.944,12.318,447.934,1.0509,1.0508199382163648,0.7933384772812352,0.84289817196565,0.6817695828880188,0.134601992232707,30.80327458629652,A,A
A_40.jpg,14.338,12.865,541.23,1.1145,1.1144966963766425,0.9427297667028108,0.8996132590023941,0.8302400526673758,0.3183971053359454,59.26391901524557,A,A
A_41.jpg,14.638,14.118,665.426,1.0369,1.0368324124495798,0.9748799724606824,1.0,1.0,0.0942287233255528,43.73667775405151,A,A
A_42.jpg,14.065,13.747,606.229,1.0231,1.0231323197044349,0.913473079463148,0.991062448703323,0.9336789146248918,0.0546850944039796,41.91947804760859,A,A
A_43.jpg,14.056,13.721,603.518,1.0244,1.0244151300178983,0.9125085732904116,0.988366667601028,0.9293646520244392,0.0583877682439317,41.96531195085824,A,A
A_44.jpg,12.3,11.903,397.466,1.0334,1.0333529361477485,0.7243227022543379,0.7998693582174804,0.6014552321245928,0.0841856438894816,32.117780399049245,A,A
A_45.jpg,12.891,11.762,406.747,1.096,1.095987076934536,0.7876586075973445,0.7852499299319577,0.6162249374712552,0.2649713704658237,28.79363695700908,A,A
A_46.jpg,14.868,11.841,475.465,1.2556,1.2556371926986205,0.9995284635417172,0.7934409571273923,0.7255821847519301,0.7257817498187966,69.53817235918555,A,A
A_47.jpg,14.012,11.656,434.18,1.2021,1.2021276594713342,0.9077932097792576,0.7742594377456783,0.659881582959348,0.571333078187997,63.51175408664648,A,A
A_48.jpg,13.571,12.503,483.849,1.0854,1.0854194992333503,0.8605324073151863,0.8620796913473641,0.7389244118423748,0.2344693600788019,41.55205717568819,A,A
A_49.jpg,14.647,13.138,576.648,1.1148,1.1148576647043038,0.9758444786334184,0.9279189605764911,0.8866039600015087,0.3194389959177844,61.76137473505546,A,A
A_50.jpg,14.347,13.729,616.813,1.045,1.0450142034346992,0.9436942728755472,0.9891961387094264,0.9505222032133064,0.1178444544485476,44.2149799086143,A,A
A_51.jpg,12.909,11.479,387.983,1.1245,1.1245753113403107,0.7895876199428169,0.7559073894723625,0.5863640656767533,0.3474877850547347,45.04698377732355,A,A
A_52.jpg,14.382,13.421,590.826,1.0717,1.0716042022895758,0.9474451302139654,0.957261501036086,0.9091667099643336,0.1945932084389112,47.57892525945538,A,A
A_53.jpg,13.474,13.447,555.677,1.002,1.0020078827246222,0.8501371741201413,0.959957282138381,0.853230886967907,0.0,39.50475867929601,A,A
A_54.jpg,11.894,10.818,317.457,1.0995,1.099463856433771,0.6808127571286852,0.6873723391409405,0.4741295824013831,0.2750066659136309,43.97995026414871,B,A
A_55.jpg,11.718,11.356,344.642,1.0319,1.0318774215364672,0.6619513030840672,0.7431542711807363,0.5173915627751593,0.0799267528482122,36.83980332770097,B,A
A_56.jpg,11.021,11.003,304.305,1.0016,1.0016359173860188,0.5872556583732794,0.7065538585226547,0.453199600209884,0.0,36.8141946139751,B,A
A_57.jpg,11.171,10.129,261.415,1.1028,1.1028729389769103,0.603330761252215,0.615934139930124,0.3849448149153739,0.2848465624425571,42.22181652695519,B,A
A_58.jpg,10.826,10.412,267.684,1.0398,1.039761813192493,0.566358024630663,0.6452766803897193,0.3949212487929976,0.1026840774676913,34.369253531236666,B,A
A_59.jpg,12.062,11.832,385.159,1.0194,1.0194388099206018,0.6988168723530931,0.7925078021304442,0.581869975826632,0.0440242337056566,33.9225332886072,A,A
A_60.jpg,4.376,3.812,14.503,1.1481,1.1479538297093512,0.0,0.0,0.0,0.4149669964965065,14.999999999999991,C,A
A_61.jpg,4.165,3.935,14.71,1.0583,1.058449809133812,0.0,0.0,0.0,0.1566246741146201,14.999999999999991,C,A
A_62.jpg,3.918,3.785,12.803,1.035,1.0351387051426315,0.0,0.0,0.0,0.0893400459644856,14.999999999999991,C,A
A_63.jpg,4.191,4.085,15.954,1.0259,1.0259485921601104,0.0,0.0,0.0,0.0628139176901392,14.999999999999991,C,A
A_64.jpg,5.153,3.891,17.795,1.3243,1.3243382160564536,0.0,0.0,0.0,0.9240787850820972,14.999999999999991,C,A
A_65.jpg,5.426,3.768,17.569,1.4403,1.4400212310403342,0.0,0.0,0.0,1.0,14.999999999999991,C,A
A_66.jpg,4.897,4.315,20.793,1.135,1.134878331139078,0.0,0.0131160119015504,0.002020987749703,0.3772261816680317,14.999999999999991,C,A
A_67.jpg,5.682,3.776,18.484,1.5047,1.5047669487540345,0.0150891632356942,0.0,0.0,1.0,14.999999999999991,C,A
A_68.jpg,10.588,10.324,257.375,1.0256,1.025571483821622,0.5408521947294181,0.6361524981973362,0.3785155928918294,0.0617254409566007,31.96298585518018,B,A
A_69.jpg,13.818,12.194,468.621,1.1331,1.1331802524903083,0.8870027433891671,0.8300413697854742,0.7146907007100642,0.3723248869676442,62.73939340788361,A,A
A_70.jpg,10.544,10.509,265.586,1.0034,1.003330478541885,0.5361368312182638,0.6553340175790505,0.3915825092372065,0.0,32.846124631328365,B,A
B_01.jpg,11.982,10.456,298.779,1.146,1.1459449119026448,0.690243484150994,0.6498387714859106,0.44440557028362,0.4091685028833525,60.00000000000004,B,B
B_02.jpg,13.782,10.394,339.614,1.326,1.3259572829203428,0.8831447186982228,0.6434103703958227,0.5093900458607084,0.928752022005076,60.00000000000003,B,B
B_03.jpg,14.506,10.359,355.019,1.4003,1.400328216874184,0.9607338819272192,0.6397814342965795,0.5339054333044466,1.0,60.00000000000001,A,B
B_04.jpg,13.006,10.676,338.128,1.2182,1.218246534168392,0.7999828531378619,0.6726492269668681,0.5070252379579888,0.6178582230546021,60.00148029037281,B,B
B_05.jpg,13.226,10.359,323.706,1.2768,1.276764166302079,0.8235596706936343,0.6397814342965795,0.4840741884472072,0.7867621548388362,60.00000000000001,B,B
B_06.jpg,11.726,10.535,296.857,1.1131,1.1130517322151827,0.6628086419042772,0.6580297986813454,0.4413469156476665,0.3142263944021834,48.343587730970704,B,B
B_07.jpg,13.588,10.041,312.478,1.3533,1.3532516680257691,0.8623542523081323,0.6068099577377412,0.4662060436748416,1.0,59.999999999999964,B,B
B_08.jpg,11.118,11.082,311.432,1.0032,1.00324851100855,0.5976508915683244,0.7147448857180895,0.464541448071716,0.0,37.25117984561462,B,B
B_09.jpg,11.382,10.129,266.371,1.1237,1.1237042155075818,0.6259430726352513,0.615934139930124,0.3928317516353456,0.3449734743120743,49.5735103442392,B,B
B_10.jpg,11.762,10.941,321.135,1.075,1.0750388446142911,0.6666666665952218,0.7001254574325668,0.4799827206693525,0.2045068801266458,40.538252288146005,B,B
B_11.jpg,10.818,10.632,278.919,1.0174,1.0174943565634411,0.565500685810453,0.6680871358706766,0.4128005333064931,0.0384118087796928,34.75732022668327,B,B
B_12.jpg,10.765,10.571,274.339,1.0184,1.0183520952588827,0.5598208161265624,0.6617624186691384,0.4055119598243561,0.040887565792085,34.23825219776075,B,B
B_13.jpg,11.1,10.544,281.469,1.0527,1.0527314111292931,0.5957218792228521,0.6589629536782937,0.4168585818609581,0.140119223171838,37.07502439660488,B,B
B_14.jpg,10.844,10.694,282.859,1.014,1.0140265568529991,0.5682870369761351,0.6745155369607647,0.4190706161710389,0.0284024323853138,35.10597326284749,B,B
B_15.jpg,11.109,10.791,295.048,1.0294,1.0294690018506654,0.5966863853955883,0.6845728741500958,0.4384680882613813,0.0729751463069711,36.74252715050019,B,B
B_16.jpg,12.044,11.426,358.662,1.0541,1.0540871695209095,0.6968878600076209,0.7504121433792228,0.5397028728667664,0.1440324526471922,36.2025352927194,A,B
B_17.jpg,10.279,10.059,237.219,1.0219,1.0218709612265762,0.5077374827988107,0.6086762677316375,0.3464395040040666,0.0510443386431692,27.280279796096487,C,B
B_18.jpg,11.356,10.703,296.697,1.061,1.0610109314153966,0.623156721469569,0.6754486919577128,0.4410922929932686,0.1640170378751974,39.24201861506274,B,B
B_19.jpg,12.088,11.312,352.785,1.0686,1.0685997170201025,0.7016032235187752,0.7385921800845447,0.5303502644924173,0.1859211320663999,37.38866123647624,A,B
B_20.jpg,11.391,11.012,315.042,1.0345,1.0344169995428243,0.6269075788079874,0.7074870135196031,0.4702863717115663,0.0872569317140721,38.29366447849016,B,B
B_21.jpg,10.932,10.094,254.06,1.083,1.0830196155059422,0.5777177639984442,0.6123052038308808,0.373240129771025,0.2275423915292509,36.92712009554262,B,B
B_22.jpg,11.859,11.285,344.472,1.0508,1.0508639786397107,0.6770618997902669,0.7357927150937001,0.5171210262048616,0.1347291094859064,37.29715871685863,B,B
B_23.jpg,10.774,10.262,258.755,1.0499,1.0498928083171024,0.5607853222992984,0.6297240971072483,0.3807117132860104,0.1319259460642226,33.745972332488634,B,B
B_24.jpg,11.753,11.612,361.434,1.0122,1.0121426110048104,0.6657021604224856,0.7696973466494867,0.5441142103542084,0.022964654925339,35.978075099785045,A,B
B_25.jpg,13.924,12.203,472.895,1.141,1.1410308939489444,0.8983624827569485,0.8309745247824221,0.7214923083656655,0.3949847958026877,67.83384903432483,A,B
B_26.jpg,12.291,11.497,370.556,1.0691,1.0690614942098755,0.7233581960816017,0.757773699466259,0.5586308844380629,0.1872539950021857,35.30900351371006,A,B
B_27.jpg,11.329,11.303,330.124,1.0023,1.0023002741747942,0.6202632029513607,0.7376590250875967,0.494287739671739,0.0,37.73159962239026,B,B
B_28.jpg,11.665,11.4,345.756,1.0232,1.0232456139453292,0.6562714334001766,0.7477163622769278,0.519164373006404,0.0550121042647315,36.74136490475937,B,B
B_29.jpg,12.159,9.697,260.77,1.2539,1.2538929564552035,0.7092121055481383,0.5711427000766076,0.3839183673398327,0.720747226911229,56.08266111784113,B,B
B_30.jpg,11.868,11.259,343.113,1.0541,1.0540900611906838,0.678026405963003,0.7330969339914052,0.5149583250340704,0.1440407990955444,37.52539059238937,B,B
B_31.jpg,11.329,10.447,282.021,1.0845,1.0844261509443454,0.6202632029513607,0.6489056164889624,0.4177370300186305,0.2316021826909544,41.05700343973248,B,B
B_32.jpg,10.862,10.712,284.256,1.014,1.0140029872092975,0.5702160493216075,0.6763818469546611,0.4212937902222497,0.0283344015141598,35.24901637183224,B,B
B_33.jpg,11.126,10.376,273.239,1.0723,1.0722821895651231,0.5985082303885343,0.6415440604019261,0.4037614290753712,0.1965501351354326,38.293202079209024,B,B
B_34.jpg,10.924,10.676,283.991,1.0231,1.0232296739393751,0.5768604251782342,0.6726492269668681,0.4208720714509034,0.0549660954024427,35.479860425450696,B,B
B_35.jpg,11.426,11.409,339.219,1.0015,1.0014900516257788,0.6306584361464057,0.7486495172738762,0.5087614461826638,0.0,37.41537132042586,B,B
B_36.jpg,10.712,9.494,220.22,1.1283,1.1282915524406687,0.5541409464426718,0.550094870700997,0.3193874383658904,0.3582142568961557,32.42279522154792,C,B
